LineId,Label,Timestamp,Date,Node,Time,NodeRepeat,Type,Component,Level,Content,EventId,EventTemplate,datetime,content_length
27,-,1117979227,2005-06-05,R01-M1-N7-C:J04-U11,2005-06-05-06.47.07.157021,R01-M1-N7-C:J04-U11,RAS,KERNEL,Informativo,generating core.8275,E67,generating core.<*>,2005-06-05 13:47:07,2
28,-,1117982609,2005-06-05,R35-M1-NE-C:J05-U01,2005-06-05-07.43.29.979844,R35-M1-NE-C:J05-U01,RAS,KERNEL,Informativo,generating core.4183,E67,generating core.<*>,2005-06-05 14:43:29,2
29,-,1117984124,2005-06-05,R36-M1-NF-C:J11-U01,2005-06-05-08.08.44.281729,R36-M1-NF-C:J11-U01,RAS,KERNEL,Informativo,generating core.6545,E67,generating core.<*>,2005-06-05 15:08:44,2
30,-,1117984130,2005-06-05,R37-M1-NE-C:J13-U01,2005-06-05-08.08.50.547117,R37-M1-NE-C:J13-U01,RAS,KERNEL,Informativo,generating core.4245,E67,generating core.<*>,2005-06-05 15:08:50,2
31,-,1117984216,2005-06-05,R32-M1-N4-C:J16-U01,2005-06-05-08.10.16.270131,R32-M1-N4-C:J16-U01,RAS,KERNEL,Informativo,generating core.6884,E67,generating core.<*>,2005-06-05 15:10:16,2
32,-,1117984246,2005-06-05,R30-M1-N3-C:J02-U01,2005-06-05-08.10.46.344235,R30-M1-N3-C:J02-U01,RAS,KERNEL,Error,force load/store alignment...............0,E64,force load/store alignment...............<*>,2005-06-05 15:10:46,3
33,-,1117985401,2005-06-05,R34-M1-NE-C:J02-U01,2005-06-05-08.30.01.873693,R34-M1-NE-C:J02-U01,RAS,KERNEL,Informativo,generating core.6471,E67,generating core.<*>,2005-06-05 15:30:01,2
34,-,1117985413,2005-06-05,R31-M1-N7-C:J05-U11,2005-06-05-08.30.13.824307,R31-M1-N7-C:J05-U11,RAS,KERNEL,Informativo,generating core.4155,E67,generating core.<*>,2005-06-05 15:30:13,2
35,-,1117985464,2005-06-05,R32-M0-NF-C:J10-U01,2005-06-05-08.31.04.464776,R32-M0-NF-C:J10-U01,RAS,KERNEL,Informativo,generating core.449,E67,generating core.<*>,2005-06-05 15:31:04,2
36,-,1117985533,2005-06-05,R34-M1-NC-C:J06-U11,2005-06-05-08.32.13.659715,R34-M1-NC-C:J06-U11,RAS,KERNEL,Informativo,generating core.6990,E67,generating core.<*>,2005-06-05 15:32:13,2
37,-,1117985547,2005-06-05,R31-M1-NC-C:J14-U11,2005-06-05-08.32.27.814949,R31-M1-NC-C:J14-U11,RAS,KERNEL,Informativo,generating core.4876,E67,generating core.<*>,2005-06-05 15:32:27,2
38,-,1117987420,2005-06-05,R37-M0-N7-C:J08-U11,2005-06-05-09.03.40.673488,R37-M0-N7-C:J08-U11,RAS,KERNEL,Informativo,generating core.2218,E67,generating core.<*>,2005-06-05 16:03:40,2
39,-,1117988266,2005-06-05,R34-M1-NA-C:J07-U11,2005-06-05-09.17.46.225683,R34-M1-NA-C:J07-U11,RAS,KERNEL,Informativo,generating core.7518,E67,generating core.<*>,2005-06-05 16:17:46,2
40,-,1117988286,2005-06-05,R33-M1-N8-C:J09-U11,2005-06-05-09.18.06.694851,R33-M1-N8-C:J09-U11,RAS,KERNEL,Informativo,generating core.5854,E67,generating core.<*>,2005-06-05 16:18:06,2
41,-,1117988416,2005-06-05,R30-M1-N3-C:J10-U01,2005-06-05-09.20.16.681318,R30-M1-N3-C:J10-U01,RAS,KERNEL,Informativo,generating core.7457,E67,generating core.<*>,2005-06-05 16:20:16,2
42,-,1117988443,2005-06-05,R32-M1-N5-C:J17-U01,2005-06-05-09.20.43.944594,R32-M1-N5-C:J17-U01,RAS,KERNEL,Informativo,generating core.6896,E67,generating core.<*>,2005-06-05 16:20:43,2
43,-,1117989483,2005-06-05,R37-M0-N3-C:J14-U01,2005-06-05-09.38.03.456120,R37-M0-N3-C:J14-U01,RAS,KERNEL,Informativo,generating core.3488,E67,generating core.<*>,2005-06-05 16:38:03,2
44,-,1117989508,2005-06-05,R36-M0-NA-C:J17-U01,2005-06-05-09.38.28.957918,R36-M0-NA-C:J17-U01,RAS,KERNEL,Informativo,generating core.1172,E67,generating core.<*>,2005-06-05 16:38:28,2
45,-,1117989530,2005-06-05,R33-M0-N6-C:J08-U11,2005-06-05-09.38.50.430385,R33-M0-N6-C:J08-U11,RAS,KERNEL,Informativo,generating core.2286,E67,generating core.<*>,2005-06-05 16:38:50,2
46,-,1117989577,2005-06-05,R30-M0-ND-C:J07-U01,2005-06-05-09.39.37.590924,R30-M0-ND-C:J07-U01,RAS,KERNEL,Informativo,generating core.786,E67,generating core.<*>,2005-06-05 16:39:37,2
47,-,1117989594,2005-06-05,R35-M0-N5-C:J17-U11,2005-06-05-09.39.54.210760,R35-M0-N5-C:J17-U11,RAS,KERNEL,Informativo,generating core.2680,E67,generating core.<*>,2005-06-05 16:39:54,2
48,-,1117989601,2005-06-05,R32-M0-N2-C:J15-U01,2005-06-05-09.40.01.191177,R32-M0-N2-C:J15-U01,RAS,KERNEL,Informativo,generating core.1524,E67,generating core.<*>,2005-06-05 16:40:01,2
49,-,1117989617,2005-06-05,R35-M1-ND-C:J10-U11,2005-06-05-09.40.17.352982,R35-M1-ND-C:J10-U11,RAS,KERNEL,Informativo,generating core.4937,E67,generating core.<*>,2005-06-05 16:40:17,2
50,-,1117990886,2005-06-05,R36-M1-ND-C:J13-U01,2005-06-05-10.01.26.040379,R36-M1-ND-C:J13-U01,RAS,KERNEL,Informativo,generating core.6801,E67,generating core.<*>,2005-06-05 17:01:26,2
51,-,1117990951,2005-06-05,R31-M1-NF-C:J15-U01,2005-06-05-10.02.31.242619,R31-M1-NF-C:J15-U01,RAS,KERNEL,Informativo,generating core.4368,E67,generating core.<*>,2005-06-05 17:02:31,2
52,-,1117990980,2005-06-05,R34-M0-ND-C:J03-U01,2005-06-05-10.03.00.195528,R34-M0-ND-C:J03-U01,RAS,KERNEL,Informativo,generating core.851,E67,generating core.<*>,2005-06-05 17:03:00,2
53,-,1117991006,2005-06-05,R32-M0-N9-C:J17-U01,2005-06-05-10.03.26.884113,R32-M0-N9-C:J17-U01,RAS,KERNEL,Informativo,generating core.1744,E67,generating core.<*>,2005-06-05 17:03:26,2
54,-,1117991046,2005-06-05,R30-M0-N0-C:J17-U01,2005-06-05-10.04.06.326828,R30-M0-N0-C:J17-U01,RAS,KERNEL,Informativo,generating core.1588,E67,generating core.<*>,2005-06-05 17:04:06,2
55,-,1117992519,2005-06-05,R37-M1-N3-C:J05-U11,2005-06-05-10.28.39.717587,R37-M1-N3-C:J05-U11,RAS,KERNEL,Informativo,generating core.5307,E67,generating core.<*>,2005-06-05 17:28:39,2
56,-,1117992553,2005-06-05,R30-M1-NB-C:J17-U11,2005-06-05-10.29.13.196439,R30-M1-NB-C:J17-U11,RAS,KERNEL,Informativo,generating core.7192,E67,generating core.<*>,2005-06-05 17:29:13,2
57,-,1118070512,2005-06-06,R01-M1-NB-C:J03-U11,2005-06-06-08.08.32.984716,R01-M1-NB-C:J03-U11,RAS,KERNEL,Informativo,"CE sym 20, at 0x01228120, mask 0x10",E18,"CE sym <*>, at <*>, mask <*>",2005-06-06 15:08:32,7
58,-,1118070518,2005-06-06,R01-M1-ND-C:J15-U11,2005-06-06-08.08.38.414458,R01-M1-ND-C:J15-U11,RAS,KERNEL,Informativo,"CE sym 5, at 0x11042a80, mask 0x04",E18,"CE sym <*>, at <*>, mask <*>",2005-06-06 15:08:38,7
59,-,1118079221,2005-06-06,R02-M1-N0-C:J12-U11,2005-06-06-10.33.41.093251,R02-M1-N0-C:J12-U11,RAS,KERNEL,Informativo,instruction cache parity error corrected,E77,instruction cache parity error corrected,2005-06-06 17:33:41,5
60,-,1118079403,2005-06-06,R02-M1-N0-C:J12-U11,2005-06-06-10.36.43.705821,R02-M1-N0-C:J12-U11,RAS,KERNEL,Informativo,instruction cache parity error corrected,E77,instruction cache parity error corrected,2005-06-06 17:36:43,5
61,-,1118080420,2005-06-06,R02-M1-N0-C:J12-U11,2005-06-06-10.53.40.701796,R02-M1-N0-C:J12-U11,RAS,KERNEL,Informativo,instruction cache parity error corrected,E77,instruction cache parity error corrected,2005-06-06 17:53:40,5
62,-,1118080480,2005-06-06,R02-M1-N0-C:J12-U11,2005-06-06-10.54.40.382678,R02-M1-N0-C:J12-U11,RAS,KERNEL,Informativo,instruction cache parity error corrected,E77,instruction cache parity error corrected,2005-06-06 17:54:40,5
63,-,1118080909,2005-06-06,R02-M1-N0-C:J12-U11,2005-06-06-11.01.49.223879,R02-M1-N0-C:J12-U11,RAS,KERNEL,Informativo,instruction cache parity error corrected,E77,instruction cache parity error corrected,2005-06-06 18:01:49,5
64,-,1118081048,2005-06-06,R02-M1-N0-C:J12-U11,2005-06-06-11.04.08.452393,R02-M1-N0-C:J12-U11,RAS,KERNEL,Informativo,instruction cache parity error corrected,E77,instruction cache parity error corrected,2005-06-06 18:04:08,5
65,-,1118081391,2005-06-06,R02-M1-N0-C:J12-U11,2005-06-06-11.09.51.751862,R02-M1-N0-C:J12-U11,RAS,KERNEL,Informativo,instruction cache parity error corrected,E77,instruction cache parity error corrected,2005-06-06 18:09:51,5
66,-,1118081467,2005-06-06,R02-M1-N0-C:J12-U11,2005-06-06-11.11.07.787886,R02-M1-N0-C:J12-U11,RAS,KERNEL,Informativo,instruction cache parity error corrected,E77,instruction cache parity error corrected,2005-06-06 18:11:07,5
67,-,1118112603,2005-06-06,R22-M0-N0-C:J08-U11,2005-06-06-19.50.03.669394,R22-M0-N0-C:J08-U11,RAS,KERNEL,Informativo,generating core.430,E67,generating core.<*>,2005-06-07 02:50:03,2
68,-,1118112604,2005-06-06,R22-M0-N4-C:J08-U11,2005-06-06-19.50.04.552706,R22-M0-N4-C:J08-U11,RAS,KERNEL,Informativo,generating core.174,E67,generating core.<*>,2005-06-07 02:50:04,2
69,-,1118112700,2005-06-06,R23-M0-N0-I:J18-U01,2005-06-06-19.51.40.376079,R23-M0-N0-I:J18-U01,RAS,KERNEL,Informativo,ciod: cpu 0 at treeaddr 438 sent unrecognized message 0xffffffff,E19,ciod: cpu <*> at treeaddr <*> sent unrecognized message <*>,2005-06-07 02:51:40,10
70,-,1118114656,2005-06-06,R24-M1-N9-C:J15-U01,2005-06-06-20.24.16.345770,R24-M1-N9-C:J15-U01,RAS,KERNEL,Informativo,generating core.976,E67,generating core.<*>,2005-06-07 03:24:16,2
71,-,1118122888,2005-06-06,R25-M1-N8-C:J06-U01,2005-06-06-22.41.28.143013,R25-M1-N8-C:J06-U01,RAS,KERNEL,Informativo,generating core.1990,E67,generating core.<*>,2005-06-07 05:41:28,2
72,-,1118149549,2005-06-07,R20-M0-N2-C:J09-U01,2005-06-07-06.05.49.961844,R20-M0-N2-C:J09-U01,RAS,KERNEL,Informativo,generating core.3638,E67,generating core.<*>,2005-06-07 13:05:49,2
73,-,1118149569,2005-06-07,R21-M0-NB-C:J06-U01,2005-06-07-06.06.09.288228,R21-M0-NB-C:J06-U01,RAS,KERNEL,Informativo,generating core.2690,E67,generating core.<*>,2005-06-07 13:06:09,2
74,-,1118149570,2005-06-07,R24-M0-NA-C:J15-U11,2005-06-07-06.06.10.391269,R24-M0-NA-C:J15-U11,RAS,KERNEL,Informativo,generating core.3804,E67,generating core.<*>,2005-06-07 13:06:10,2
75,-,1118149783,2005-06-07,R20-M1-N5-C:J06-U01,2005-06-07-06.09.43.355329,R20-M1-N5-C:J06-U01,RAS,KERNEL,Informativo,generating core.418,E67,generating core.<*>,2005-06-07 13:09:43,2
76,-,1118149821,2005-06-07,R20-M1-N4-C:J09-U01,2005-06-07-06.10.21.214757,R20-M1-N4-C:J09-U01,RAS,KERNEL,Informativo,generating core.310,E67,generating core.<*>,2005-06-07 13:10:21,2
77,-,1118172013,2005-06-07,R35-M0-N7-C:J10-U11,2005-06-07-12.20.13.966416,R35-M0-N7-C:J10-U11,RAS,KERNEL,Informativo,generating core.2409,E67,generating core.<*>,2005-06-07 19:20:13,2
78,-,1118172017,2005-06-07,R35-M1-NE-C:J09-U01,2005-06-07-12.20.17.344136,R35-M1-NE-C:J09-U01,RAS,KERNEL,Informativo,generating core.4182,E67,generating core.<*>,2005-06-07 19:20:17,2
79,-,1118172099,2005-06-07,R32-M1-N9-C:J11-U11,2005-06-07-12.21.39.208896,R32-M1-N9-C:J11-U11,RAS,KERNEL,Informativo,generating core.8153,E67,generating core.<*>,2005-06-07 19:21:39,2
80,-,1118172125,2005-06-07,R36-M1-N8-C:J17-U11,2005-06-07-12.22.05.196450,R36-M1-N8-C:J17-U11,RAS,KERNEL,Informativo,generating core.7836,E67,generating core.<*>,2005-06-07 19:22:05,2
81,-,1118172147,2005-06-07,R35-M0-NC-C:J03-U11,2005-06-07-12.22.27.613809,R35-M0-NC-C:J03-U11,RAS,KERNEL,Informativo,generating core.2911,E67,generating core.<*>,2005-06-07 19:22:27,2
82,-,1118172690,2005-06-07,R35-M0-N5-C:J10-U11,2005-06-07-12.31.30.918396,R35-M0-N5-C:J10-U11,RAS,KERNEL,Informativo,generating core.2921,E67,generating core.<*>,2005-06-07 19:31:30,2
83,-,1118183497,2005-06-07,R34-M0-N7-C:J09-U11,2005-06-07-15.31.37.435791,R34-M0-N7-C:J09-U11,RAS,KERNEL,Informativo,generating core.122,E67,generating core.<*>,2005-06-07 22:31:37,2
84,-,1118183566,2005-06-07,R36-M0-N0-C:J11-U01,2005-06-07-15.32.46.334191,R36-M0-N0-C:J11-U01,RAS,KERNEL,Informativo,generating core.1973,E67,generating core.<*>,2005-06-07 22:32:46,2
85,-,1118193358,2005-06-07,R11-M0-NC-I:J18-U01,2005-06-07-18.15.58.583443,R11-M0-NC-I:J18-U01,RAS,APP,Error,ciod: LOGIN chdir(/p/gb2/glosli/8M_5000K/t800) failed: No such file or directory,E37,ciod: LOGIN chdir(<*>) failed: No such file or directory,2005-06-08 01:15:58,9
86,-,1118207879,2005-06-07,R17-M1-N7-C:J15-U11,2005-06-07-22.17.59.587113,R17-M1-N7-C:J15-U11,RAS,KERNEL,Informativo,generating core.4984,E67,generating core.<*>,2005-06-08 05:17:59,2
87,-,1118207897,2005-06-07,R16-M1-NC-C:J06-U11,2005-06-07-22.18.17.203831,R16-M1-NC-C:J06-U11,RAS,KERNEL,Informativo,generating core.1822,E67,generating core.<*>,2005-06-08 05:18:17,2
88,-,1118251556,2005-06-08,R16-M1-N2-C:J12-U01,2005-06-08-10.25.56.322381,R16-M1-N2-C:J12-U01,RAS,KERNEL,Informativo,"CE sym 28, at 0x110067e0, mask 0x02",E18,"CE sym <*>, at <*>, mask <*>",2005-06-08 17:25:56,7
89,-,1118271740,2005-06-08,R03-M1-N9-C:J09-U11,2005-06-08-16.02.20.600478,R03-M1-N9-C:J09-U11,RAS,KERNEL,Informativo,"1 ddr errors(s) detected and corrected on rank 0, symbol 25, bit 1",E2,"<*> ddr errors(s) detected and corrected on rank <*>, symbol <*>, bit <*>",2005-06-08 23:02:20,13
90,-,1118285722,2005-06-08,R15-M1-N6-C:J04-U11,2005-06-08-19.55.22.798062,R15-M1-N6-C:J04-U11,RAS,KERNEL,Informativo,"CE sym 14, at 0x06047860, mask 0x20",E18,"CE sym <*>, at <*>, mask <*>",2005-06-09 02:55:22,7
91,-,1118290076,2005-06-08,R27-M0-ND-C:J10-U01,2005-06-08-21.07.56.397001,R27-M0-ND-C:J10-U01,RAS,KERNEL,Informativo,generating core.3265,E67,generating core.<*>,2005-06-09 04:07:56,2
92,-,1118290077,2005-06-08,R27-M1-N6-C:J04-U01,2005-06-08-21.07.57.879112,R27-M1-N6-C:J04-U01,RAS,KERNEL,Informativo,generating core.2599,E67,generating core.<*>,2005-06-09 04:07:57,2
93,-,1118292507,2005-06-08,R26-M0-NB-C:J09-U11,2005-06-08-21.48.27.952411,R26-M0-NB-C:J09-U11,RAS,KERNEL,Informativo,generating core.1818,E67,generating core.<*>,2005-06-09 04:48:27,2
94,-,1118301090,2005-06-09,R21-M1-NA-C:J07-U11,2005-06-09-00.11.30.925676,R21-M1-NA-C:J07-U11,RAS,KERNEL,Informativo,generating core.1694,E67,generating core.<*>,2005-06-09 07:11:30,2
95,-,1118343776,2005-06-09,R16-M1-N1-C:J12-U01,2005-06-09-12.02.56.706796,R16-M1-N1-C:J12-U01,RAS,KERNEL,Informativo,generating core.3401,E67,generating core.<*>,2005-06-09 19:02:56,2
96,-,1118343816,2005-06-09,R07-M1-NE-C:J06-U01,2005-06-09-12.03.36.113136,R07-M1-NE-C:J06-U01,RAS,KERNEL,Informativo,generating core.25350,E67,generating core.<*>,2005-06-09 19:03:36,2
97,-,1118343958,2005-06-09,R23-M1-NA-C:J17-U11,2005-06-09-12.05.58.258567,R23-M1-NA-C:J17-U11,RAS,KERNEL,Informativo,generating core.1820,E67,generating core.<*>,2005-06-09 19:05:58,2
98,-,1118351098,2005-06-09,R16-M1-N2-C:J17-U01,2005-06-09-14.04.58.329635,R16-M1-N2-C:J17-U01,RAS,KERNEL,Informativo,"CE sym 2, at 0x1b85f080, mask 0x02",E18,"CE sym <*>, at <*>, mask <*>",2005-06-09 21:04:58,7
99,-,1118354046,2005-06-09,R24-M1-N6-C:J07-U11,2005-06-09-14.54.06.957120,R24-M1-N6-C:J07-U11,RAS,KERNEL,Informativo,generating core.254,E67,generating core.<*>,2005-06-09 21:54:06,2
100,-,1118354070,2005-06-09,R25-M1-N8-C:J05-U11,2005-06-09-14.54.30.103580,R25-M1-N8-C:J05-U11,RAS,KERNEL,Informativo,generating core.1887,E67,generating core.<*>,2005-06-09 21:54:30,2
101,-,1118363168,2005-06-09,R16-M1-N2-C:J17-U01,2005-06-09-17.26.08.386218,R16-M1-N2-C:J17-U01,RAS,KERNEL,Informativo,"CE sym 2, at 0x1b85fe80, mask 0x02",E18,"CE sym <*>, at <*>, mask <*>",2005-06-10 00:26:08,7
102,-,1118371043,2005-06-09,R11-M0-N7-C:J16-U11,2005-06-09-19.37.23.866536,R11-M0-N7-C:J16-U11,RAS,KERNEL,Informativo,generating core.8280,E67,generating core.<*>,2005-06-10 02:37:23,2
103,-,1118371064,2005-06-09,R00-M1-N6-C:J12-U01,2005-06-09-19.37.44.455502,R00-M1-N6-C:J12-U01,RAS,KERNEL,Informativo,generating core.12357,E67,generating core.<*>,2005-06-10 02:37:44,2
104,KERNDTLB,1118536327,2005-06-11,R30-M0-N9-C:J16-U01,2005-06-11-17.32.07.581048,R30-M0-N9-C:J16-U01,RAS,KERNEL,Error,data TLB error interrupt,E55,data TLB error interrupt,2005-06-12 00:32:07,4
105,KERNDTLB,1118536959,2005-06-11,R30-M0-N9-C:J16-U01,2005-06-11-17.42.39.794840,R30-M0-N9-C:J16-U01,RAS,KERNEL,Error,data TLB error interrupt,E55,data TLB error interrupt,2005-06-12 00:42:39,4
106,KERNDTLB,1118537212,2005-06-11,R30-M0-N9-C:J16-U01,2005-06-11-17.46.52.020435,R30-M0-N9-C:J16-U01,RAS,KERNEL,Error,data TLB error interrupt,E55,data TLB error interrupt,2005-06-12 00:46:52,4
107,KERNDTLB,1118537261,2005-06-11,R30-M0-N9-C:J16-U01,2005-06-11-17.47.41.103595,R30-M0-N9-C:J16-U01,RAS,KERNEL,Error,data TLB error interrupt,E55,data TLB error interrupt,2005-06-12 00:47:41,4
108,KERNDTLB,1118537622,2005-06-11,R30-M0-N9-C:J16-U01,2005-06-11-17.53.42.323869,R30-M0-N9-C:J16-U01,RAS,KERNEL,Error,data TLB error interrupt,E55,data TLB error interrupt,2005-06-12 00:53:42,4
109,KERNDTLB,1118537694,2005-06-11,R30-M0-N9-C:J16-U01,2005-06-11-17.54.54.024829,R30-M0-N9-C:J16-U01,RAS,KERNEL,Error,data TLB error interrupt,E55,data TLB error interrupt,2005-06-12 00:54:54,4
110,KERNDTLB,1118538129,2005-06-11,R30-M0-N9-C:J16-U01,2005-06-11-18.02.09.666558,R30-M0-N9-C:J16-U01,RAS,KERNEL,Error,data TLB error interrupt,E55,data TLB error interrupt,2005-06-12 01:02:09,4
111,KERNDTLB,1118538182,2005-06-11,R30-M0-N9-C:J16-U01,2005-06-11-18.03.02.884252,R30-M0-N9-C:J16-U01,RAS,KERNEL,Error,data TLB error interrupt,E55,data TLB error interrupt,2005-06-12 01:03:02,4
112,KERNDTLB,1118538836,2005-06-11,R30-M0-N9-C:J16-U01,2005-06-11-18.13.56.287869,R30-M0-N9-C:J16-U01,RAS,KERNEL,Error,data TLB error interrupt,E55,data TLB error interrupt,2005-06-12 01:13:56,4
113,KERNDTLB,1118539141,2005-06-11,R30-M0-N9-C:J16-U01,2005-06-11-18.19.01.277745,R30-M0-N9-C:J16-U01,RAS,KERNEL,Error,data TLB error interrupt,E55,data TLB error interrupt,2005-06-12 01:19:01,4
114,KERNDTLB,1118539342,2005-06-11,R30-M0-N9-C:J16-U01,2005-06-11-18.22.22.630540,R30-M0-N9-C:J16-U01,RAS,KERNEL,Error,data TLB error interrupt,E55,data TLB error interrupt,2005-06-12 01:22:22,4
115,KERNDTLB,1118539682,2005-06-11,R30-M0-N9-C:J16-U01,2005-06-11-18.28.02.964604,R30-M0-N9-C:J16-U01,RAS,KERNEL,Error,data TLB error interrupt,E55,data TLB error interrupt,2005-06-12 01:28:02,4
