LineId,Date,Time,Level,Process,Component,Content,EventId,EventTemplate,datetime,content_length
41,2015-10-18,"18:01:51,947",Informativo,main,org.apache.hadoop.http.HttpServer2,adding path spec: /ws/*,E8,adding path spec: /<*>/*,2015-10-18 18:01:51.000,4
42,2015-10-18,"18:01:51,963",Informativo,main,org.apache.hadoop.http.HttpServer2,Jetty bound to port 62267,E52,Jetty bound to port <*>,2015-10-18 18:01:51.000,5
43,2015-10-18,"18:01:51,963",Informativo,main,org.mortbay.log,jetty-6.1.26,E53,jetty-6.1.26,2015-10-18 18:01:51.000,1
44,2015-10-18,"18:01:52,088",Informativo,main,org.mortbay.log,Extract jar:file:/D:/hadoop-2.6.0-localbox/share/hadoop/yarn/hadoop-yarn-common-2.6.0-SNAPSHOT.jar!/webapps/mapreduce to C:\Users\msrabi\AppData\Local\Temp\Jetty_0_0_0_0_62267_mapreduce____.8n7xum\webapp,E43,Extract jar:file:<*> to <*>,2015-10-18 18:01:52.000,4
45,2015-10-18,"18:01:52,728",Informativo,main,org.mortbay.log,Started HttpServer2$SelectChannelConnectorWithSafeStartup@0.0.0.0:62267,E97,Started HttpServer2$SelectChannelConnectorWithSafeStartup@<*>:<*>,2015-10-18 18:01:52.000,2
46,2015-10-18,"18:01:52,728",Informativo,main,org.apache.hadoop.yarn.webapp.WebApps,Web app /mapreduce started at 62267,E113,Web app /mapreduce started at <*>,2015-10-18 18:01:52.000,6
47,2015-10-18,"18:01:53,400",Informativo,main,org.apache.hadoop.yarn.webapp.WebApps,Registered webapp guice modules,E88,Registered webapp guice modules,2015-10-18 18:01:53.000,4
48,2015-10-18,"18:01:53,400",Informativo,main,org.apache.hadoop.ipc.CallQueueManager,Using callQueue class java.util.concurrent.LinkedBlockingQueue,E110,Using callQueue class java.util.concurrent.LinkedBlockingQueue,2015-10-18 18:01:53.000,4
49,2015-10-18,"18:01:53,447",Informativo,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.speculate.DefaultSpeculator,JOB_CREATE job_1445144423722_0020,E57,JOB_CREATE job_<*>,2015-10-18 18:01:53.000,2
50,2015-10-18,"18:01:53,447",Informativo,main,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerRequestor,nodeBlacklistingEnabled:true,E70,nodeBlacklistingEnabled:true,2015-10-18 18:01:53.000,1
51,2015-10-18,"18:01:53,447",Informativo,main,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerRequestor,maxTaskFailuresPerNode is 3,E67,maxTaskFailuresPerNode is <*>,2015-10-18 18:01:53.000,3
52,2015-10-18,"18:01:53,447",Informativo,main,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerRequestor,blacklistDisablePercent is 33,E25,blacklistDisablePercent is <*>,2015-10-18 18:01:53.000,3
53,2015-10-18,"18:01:53,510",Informativo,Socket Reader #1 for port 62270,org.apache.hadoop.ipc.Server,Starting Socket Reader #1 for port 62270,E98,Starting Socket Reader #<*> for port <*>,2015-10-18 18:01:53.000,7
54,2015-10-18,"18:01:53,510",Informativo,IPC Server listener on 62270,org.apache.hadoop.ipc.Server,IPC Server listener on 62270: starting,E50,IPC Server listener on <*>: starting,2015-10-18 18:01:53.000,6
55,2015-10-18,"18:01:53,510",Informativo,IPC Server Responder,org.apache.hadoop.ipc.Server,IPC Server Responder: starting,E51,IPC Server Responder: starting,2015-10-18 18:01:53.000,4
56,2015-10-18,"18:01:53,557",Informativo,main,org.apache.hadoop.yarn.client.RMProxy,Connecting to ResourceManager at msra-sa-41/10.190.173.170:8030,E27,Connecting to ResourceManager at <*>/<*>:<*>,2015-10-18 18:01:53.000,5
57,2015-10-18,"18:01:53,713",Informativo,main,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,"maxContainerCapability: <memory:8192, vCores:32>",E66,"maxContainerCapability: <memory:<*>, vCores:<*>>",2015-10-18 18:01:53.000,3
58,2015-10-18,"18:01:53,713",Informativo,main,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,queue: default,E82,queue: default,2015-10-18 18:01:53.000,2
59,2015-10-18,"18:01:53,713",Informativo,main,org.apache.hadoop.mapreduce.v2.app.launcher.ContainerLauncherImpl,Upper limit on the thread pool size is 500,E109,Upper limit on the thread pool size is <*>,2015-10-18 18:01:53.000,9
60,2015-10-18,"18:01:53,713",Informativo,main,org.apache.hadoop.yarn.client.api.impl.ContainerManagementProtocolProxy,yarn.client.max-cached-nodemanagers-proxies : 0,E114,yarn.client.max-cached-nodemanagers-proxies : <*>,2015-10-18 18:01:53.000,3
61,2015-10-18,"18:01:53,744",Informativo,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl,job_1445144423722_0020Job Transitioned from INITED to SETUP,E54,job_<*>Job Transitioned from INITED to SETUP,2015-10-18 18:01:53.000,6
62,2015-10-18,"18:01:53,775",Informativo,CommitterEvent Processor #0,org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventHandler,Processing the event EventType: JOB_SETUP,E78,Processing the event EventType: JOB_SETUP,2015-10-18 18:01:53.000,5
63,2015-10-18,"18:01:53,822",Informativo,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl,job_1445144423722_0020Job Transitioned from SETUP to RUNNING,E56,job_<*>Job Transitioned from SETUP to RUNNING,2015-10-18 18:01:53.000,6
64,2015-10-18,"18:01:53,838",Informativo,AsyncDispatcher event handler,org.apache.hadoop.yarn.util.RackResolver,Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack,E90,Resolved <*> to /default-rack,2015-10-18 18:01:53.000,4
65,2015-10-18,"18:01:53,869",Informativo,AsyncDispatcher event handler,org.apache.hadoop.yarn.util.RackResolver,Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,E90,Resolved <*> to /default-rack,2015-10-18 18:01:53.000,4
66,2015-10-18,"18:01:53,869",Informativo,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskImpl,task_1445144423722_0020_m_000000 Task Transitioned from NEW to SCHEDULED,E102,task_<*> Task Transitioned from NEW to SCHEDULED,2015-10-18 18:01:53.000,7
67,2015-10-18,"18:01:53,869",Informativo,AsyncDispatcher event handler,org.apache.hadoop.yarn.util.RackResolver,Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack,E90,Resolved <*> to /default-rack,2015-10-18 18:01:53.000,4
68,2015-10-18,"18:01:53,869",Informativo,AsyncDispatcher event handler,org.apache.hadoop.yarn.util.RackResolver,Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,E90,Resolved <*> to /default-rack,2015-10-18 18:01:53.000,4
69,2015-10-18,"18:01:53,869",Informativo,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskImpl,task_1445144423722_0020_m_000001 Task Transitioned from NEW to SCHEDULED,E102,task_<*> Task Transitioned from NEW to SCHEDULED,2015-10-18 18:01:53.000,7
70,2015-10-18,"18:01:53,869",Informativo,AsyncDispatcher event handler,org.apache.hadoop.yarn.util.RackResolver,Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack,E90,Resolved <*> to /default-rack,2015-10-18 18:01:53.000,4
71,2015-10-18,"18:01:53,869",Informativo,AsyncDispatcher event handler,org.apache.hadoop.yarn.util.RackResolver,Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,E90,Resolved <*> to /default-rack,2015-10-18 18:01:53.000,4
72,2015-10-18,"18:01:53,869",Informativo,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskImpl,task_1445144423722_0020_m_000002 Task Transitioned from NEW to SCHEDULED,E102,task_<*> Task Transitioned from NEW to SCHEDULED,2015-10-18 18:01:53.000,7
73,2015-10-18,"18:01:53,869",Informativo,AsyncDispatcher event handler,org.apache.hadoop.yarn.util.RackResolver,Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack,E90,Resolved <*> to /default-rack,2015-10-18 18:01:53.000,4
74,2015-10-18,"18:01:53,869",Informativo,AsyncDispatcher event handler,org.apache.hadoop.yarn.util.RackResolver,Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,E90,Resolved <*> to /default-rack,2015-10-18 18:01:53.000,4
75,2015-10-18,"18:01:53,869",Informativo,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskImpl,task_1445144423722_0020_m_000003 Task Transitioned from NEW to SCHEDULED,E102,task_<*> Task Transitioned from NEW to SCHEDULED,2015-10-18 18:01:53.000,7
76,2015-10-18,"18:01:53,869",Informativo,AsyncDispatcher event handler,org.apache.hadoop.yarn.util.RackResolver,Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack,E90,Resolved <*> to /default-rack,2015-10-18 18:01:53.000,4
77,2015-10-18,"18:01:53,869",Informativo,AsyncDispatcher event handler,org.apache.hadoop.yarn.util.RackResolver,Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,E90,Resolved <*> to /default-rack,2015-10-18 18:01:53.000,4
78,2015-10-18,"18:01:53,869",Informativo,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskImpl,task_1445144423722_0020_m_000004 Task Transitioned from NEW to SCHEDULED,E102,task_<*> Task Transitioned from NEW to SCHEDULED,2015-10-18 18:01:53.000,7
79,2015-10-18,"18:01:53,869",Informativo,AsyncDispatcher event handler,org.apache.hadoop.yarn.util.RackResolver,Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack,E90,Resolved <*> to /default-rack,2015-10-18 18:01:53.000,4
80,2015-10-18,"18:01:53,869",Informativo,AsyncDispatcher event handler,org.apache.hadoop.yarn.util.RackResolver,Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,E90,Resolved <*> to /default-rack,2015-10-18 18:01:53.000,4
81,2015-10-18,"18:01:53,869",Informativo,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskImpl,task_1445144423722_0020_m_000005 Task Transitioned from NEW to SCHEDULED,E102,task_<*> Task Transitioned from NEW to SCHEDULED,2015-10-18 18:01:53.000,7
82,2015-10-18,"18:01:53,885",Informativo,AsyncDispatcher event handler,org.apache.hadoop.yarn.util.RackResolver,Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack,E90,Resolved <*> to /default-rack,2015-10-18 18:01:53.000,4
83,2015-10-18,"18:01:53,885",Informativo,AsyncDispatcher event handler,org.apache.hadoop.yarn.util.RackResolver,Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,E90,Resolved <*> to /default-rack,2015-10-18 18:01:53.000,4
84,2015-10-18,"18:01:53,885",Informativo,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskImpl,task_1445144423722_0020_m_000006 Task Transitioned from NEW to SCHEDULED,E102,task_<*> Task Transitioned from NEW to SCHEDULED,2015-10-18 18:01:53.000,7
85,2015-10-18,"18:01:53,885",Informativo,AsyncDispatcher event handler,org.apache.hadoop.yarn.util.RackResolver,Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack,E90,Resolved <*> to /default-rack,2015-10-18 18:01:53.000,4
86,2015-10-18,"18:01:53,885",Informativo,AsyncDispatcher event handler,org.apache.hadoop.yarn.util.RackResolver,Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,E90,Resolved <*> to /default-rack,2015-10-18 18:01:53.000,4
87,2015-10-18,"18:01:53,885",Informativo,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskImpl,task_1445144423722_0020_m_000007 Task Transitioned from NEW to SCHEDULED,E102,task_<*> Task Transitioned from NEW to SCHEDULED,2015-10-18 18:01:53.000,7
88,2015-10-18,"18:01:53,885",Informativo,AsyncDispatcher event handler,org.apache.hadoop.yarn.util.RackResolver,Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack,E90,Resolved <*> to /default-rack,2015-10-18 18:01:53.000,4
89,2015-10-18,"18:01:53,885",Informativo,AsyncDispatcher event handler,org.apache.hadoop.yarn.util.RackResolver,Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,E90,Resolved <*> to /default-rack,2015-10-18 18:01:53.000,4
90,2015-10-18,"18:01:53,885",Informativo,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskImpl,task_1445144423722_0020_m_000008 Task Transitioned from NEW to SCHEDULED,E102,task_<*> Task Transitioned from NEW to SCHEDULED,2015-10-18 18:01:53.000,7
91,2015-10-18,"18:01:53,885",Informativo,AsyncDispatcher event handler,org.apache.hadoop.yarn.util.RackResolver,Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack,E90,Resolved <*> to /default-rack,2015-10-18 18:01:53.000,4
92,2015-10-18,"18:01:53,885",Informativo,AsyncDispatcher event handler,org.apache.hadoop.yarn.util.RackResolver,Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,E90,Resolved <*> to /default-rack,2015-10-18 18:01:53.000,4
93,2015-10-18,"18:01:53,885",Informativo,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskImpl,task_1445144423722_0020_m_000009 Task Transitioned from NEW to SCHEDULED,E102,task_<*> Task Transitioned from NEW to SCHEDULED,2015-10-18 18:01:53.000,7
94,2015-10-18,"18:01:53,885",Informativo,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskImpl,task_1445144423722_0020_r_000000 Task Transitioned from NEW to SCHEDULED,E102,task_<*> Task Transitioned from NEW to SCHEDULED,2015-10-18 18:01:53.000,7
95,2015-10-18,"18:01:53,885",Informativo,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl,attempt_1445144423722_0020_m_000000_0 TaskAttempt Transitioned from NEW to UNASSIGNED,E17,attempt_<*> TaskAttempt Transitioned from NEW to UNASSIGNED,2015-10-18 18:01:53.000,7
96,2015-10-18,"18:01:53,885",Informativo,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl,attempt_1445144423722_0020_m_000001_0 TaskAttempt Transitioned from NEW to UNASSIGNED,E17,attempt_<*> TaskAttempt Transitioned from NEW to UNASSIGNED,2015-10-18 18:01:53.000,7
97,2015-10-18,"18:01:53,885",Informativo,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl,attempt_1445144423722_0020_m_000002_0 TaskAttempt Transitioned from NEW to UNASSIGNED,E17,attempt_<*> TaskAttempt Transitioned from NEW to UNASSIGNED,2015-10-18 18:01:53.000,7
98,2015-10-18,"18:01:53,885",Informativo,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl,attempt_1445144423722_0020_m_000003_0 TaskAttempt Transitioned from NEW to UNASSIGNED,E17,attempt_<*> TaskAttempt Transitioned from NEW to UNASSIGNED,2015-10-18 18:01:53.000,7
99,2015-10-18,"18:01:53,885",Informativo,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl,attempt_1445144423722_0020_m_000004_0 TaskAttempt Transitioned from NEW to UNASSIGNED,E17,attempt_<*> TaskAttempt Transitioned from NEW to UNASSIGNED,2015-10-18 18:01:53.000,7
100,2015-10-18,"18:01:53,885",Informativo,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl,attempt_1445144423722_0020_m_000005_0 TaskAttempt Transitioned from NEW to UNASSIGNED,E17,attempt_<*> TaskAttempt Transitioned from NEW to UNASSIGNED,2015-10-18 18:01:53.000,7
101,2015-10-18,"18:01:53,885",Informativo,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl,attempt_1445144423722_0020_m_000006_0 TaskAttempt Transitioned from NEW to UNASSIGNED,E17,attempt_<*> TaskAttempt Transitioned from NEW to UNASSIGNED,2015-10-18 18:01:53.000,7
102,2015-10-18,"18:01:53,885",Informativo,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl,attempt_1445144423722_0020_m_000007_0 TaskAttempt Transitioned from NEW to UNASSIGNED,E17,attempt_<*> TaskAttempt Transitioned from NEW to UNASSIGNED,2015-10-18 18:01:53.000,7
