Content,Level,datetime,content_length,source
"ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",Informativo,2024-03-17 16:13:39.080,1,Android
remove(PendingIntent{19abed0: PendingIntentRecord{a485420 com.tencent.qt.qtl broadcastIntent}}) changed bounds; rebatching,Informativo,2024-03-17 16:13:39.095,7,Android
"rotationForOrientationLw(orient=1, last=0); user=0 USER_ROTATION_LOCKED",Informativo,2024-03-17 16:13:39.207,4,Android
"Application requested orientation 1, got rotation 0 which has compatible metrics",Informativo,2024-03-17 16:13:39.207,11,Android
"acquire lock=166121161, flags=0x1, tag=""RILJ_ACK_WL"", name=com.android.phone, ws=null, uid=1001, pid=2626",Informativo,2024-03-17 16:13:40.142,8,Android
"ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",Informativo,2024-03-17 16:13:40.143,1,Android
"ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",Informativo,2024-03-17 16:13:40.146,1,Android
"ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",Informativo,2024-03-17 16:13:40.147,1,Android
"ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",Informativo,2024-03-17 16:13:40.148,1,Android
"ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",Informativo,2024-03-17 16:13:40.150,1,Android
"ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",Informativo,2024-03-17 16:13:40.190,1,Android
shouldBlockLocation running ...,Advertencia,2024-03-17 16:13:40.241,3,Android
shouldBlockLocation  ret:false,Informativo,2024-03-17 16:13:40.241,2,Android
shouldBlockLocation running ...,Advertencia,2024-03-17 16:13:40.280,3,Android
shouldBlockLocation  ret:false,Informativo,2024-03-17 16:13:40.280,2,Android
getNeighboringCellInfo calling app is com.amap.android.ams,Informativo,2024-03-17 16:13:40.305,5,Android
shouldBlockLocation running ...,Advertencia,2024-03-17 16:13:40.307,3,Android
shouldBlockLocation  ret:false,Informativo,2024-03-17 16:13:40.308,2,Android
"ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",Informativo,2024-03-17 16:13:40.309,1,Android
"ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",Informativo,2024-03-17 16:13:40.319,1,Android
shouldBlockLocation running ...,Advertencia,2024-03-17 16:13:40.322,3,Android
shouldBlockLocation  ret:false,Informativo,2024-03-17 16:13:40.322,2,Android
"ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",Informativo,2024-03-17 16:13:40.324,1,Android
"ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",Informativo,2024-03-17 16:13:40.332,1,Android
"ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",Informativo,2024-03-17 16:13:40.334,1,Android
"ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",Informativo,2024-03-17 16:13:40.343,1,Android
"release:lock=166121161, flg=0x0, tag=""RILJ_ACK_WL"", name=com.android.phone"", ws=null, uid=1001, pid=2626",Informativo,2024-03-17 16:13:40.345,7,Android
"ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",Informativo,2024-03-17 16:13:40.345,1,Android
shouldBlockLocation running ...,Advertencia,2024-03-17 16:13:40.346,3,Android
shouldBlockLocation  ret:false,Informativo,2024-03-17 16:13:40.346,2,Android
"release:lock=264232593, flg=0x0, tag=""AudioMix"", name=audioserver"", ws=null, uid=1041, pid=0",Informativo,2024-03-17 16:13:41.480,7,Android
"ready=true,policy=3,wakefulness=1,wksummary=0x0,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",Informativo,2024-03-17 16:13:41.481,1,Android
"Releasing suspend blocker ""PowerManagerService.WakeLocks"".",Informativo,2024-03-17 16:13:41.481,4,Android
HBM brightnessIn =38,Informativo,2024-03-17 16:13:41.614,3,Android
HBM brightnessOut =38,Informativo,2024-03-17 16:13:41.614,3,Android
"Animating brightness: target=38, rate=200",Informativo,2024-03-17 16:13:41.614,4,Android
"userActivityNoUpdateLocked: eventTime=261849942, event=2, flags=0x0, uid=1000",Informativo,2024-03-17 16:13:45.307,5,Android
"ready=true,policy=3,wakefulness=1,wksummary=0x0,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",Informativo,2024-03-17 16:13:45.308,1,Android
suspendAutohide,Informativo,2024-03-17 16:13:45.310,1,Android
interceptKeyTq keycode=4 interactive=true keyguardActive=false policyFlags=2b000002 down true canceled false,Informativo,2024-03-17 16:13:45.316,9,Android
"interceptKeyBeforeQueueing: key 4 , result : 1",Informativo,2024-03-17 16:13:45.317,7,Android
"userActivityNoUpdateLocked: eventTime=261849949, event=1, flags=0x0, uid=1000",Informativo,2024-03-17 16:13:45.317,5,Android
"ready=true,policy=3,wakefulness=1,wksummary=0x0,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",Informativo,2024-03-17 16:13:45.318,1,Android
resumeSuspendedAutohide,Informativo,2024-03-17 16:13:45.358,1,Android
interceptKeyTq keycode=4 interactive=true keyguardActive=false policyFlags=2b000002 down false canceled false,Informativo,2024-03-17 16:13:45.361,9,Android
"interceptKeyBeforeQueueing: key 4 , result : 1",Informativo,2024-03-17 16:13:45.362,7,Android
querySoundEffectsEnabled...,Informativo,2024-03-17 16:13:45.362,1,Android
"acquire lock=189667585, flags=0x1, tag=""*launch*"", name=android, ws=WorkSource{10113}, uid=1000, pid=1702",Informativo,2024-03-17 16:13:45.382,8,Android
"ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",Informativo,2024-03-17 16:13:45.382,1,Android
"Acquiring suspend blocker ""PowerManagerService.WakeLocks"".",Informativo,2024-03-17 16:13:45.382,4,Android
Skipping AppWindowToken{9f4ef63 token=Token{a64f992 ActivityRecord{de9231d u0 com.tencent.qt.qtl/.activity.info.NewsDetailXmlActivity t761}}} -- going to hide,Informativo,2024-03-17 16:13:45.402,11,Android
"setSystemUiVisibility vis=508 mask=ffffffff oldVal=40000500 newVal=508 diff=40000008 fullscreenStackVis=0 dockedStackVis=0, fullscreenStackBounds=Rect(0, 0 - 720, 1280), dockedStackBounds=Rect(0, 0 - 0, 0)",Informativo,2024-03-17 16:13:45.405,18,Android
cancelAutohide,Informativo,2024-03-17 16:13:45.408,1,Android
"notifyUiVisibilityChanged:vis=0x508, SystemUiVisibility=0x508",Informativo,2024-03-17 16:13:45.408,2,Android
Bad activity token: android.os.BinderProxy@2bd79ce,Advertencia,2024-03-17 16:13:45.466,4,Android
java.lang.ClassCastException: android.os.BinderProxy cannot be cast to com.android.server.am.ActivityRecord$Token,Advertencia,2024-03-17 16:13:45.466,7,Android
Skipping AppWindowToken{9f4ef63 token=Token{a64f992 ActivityRecord{de9231d u0 com.tencent.qt.qtl/.activity.info.NewsDetailXmlActivity t761}}} -- going to hide,Informativo,2024-03-17 16:13:45.512,11,Android
"release:lock=189667585, flg=0x0, tag=""*launch*"", name=android"", ws=WorkSource{10113}, uid=1000, pid=1702",Informativo,2024-03-17 16:13:45.598,7,Android
"ready=true,policy=3,wakefulness=1,wksummary=0x0,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",Informativo,2024-03-17 16:13:45.599,1,Android
"Releasing suspend blocker ""PowerManagerService.WakeLocks"".",Informativo,2024-03-17 16:13:45.599,4,Android
"setSystemUiVisibility vis=40000500 mask=ffffffff oldVal=508 newVal=40000500 diff=40000008 fullscreenStackVis=0 dockedStackVis=0, fullscreenStackBounds=Rect(0, 0 - 720, 1280), dockedStackBounds=Rect(0, 0 - 0, 0)",Informativo,2024-03-17 16:13:45.626,18,Android
cancelAutohide,Informativo,2024-03-17 16:13:45.627,1,Android
"notifyUiVisibilityChanged:vis=0x40000500, SystemUiVisibility=0x40000500",Informativo,2024-03-17 16:13:45.627,2,Android
"userActivityNoUpdateLocked: eventTime=261850777, event=2, flags=0x0, uid=1000",Informativo,2024-03-17 16:13:46.143,5,Android
"ready=true,policy=3,wakefulness=1,wksummary=0x0,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",Informativo,2024-03-17 16:13:46.144,1,Android
suspendAutohide,Informativo,2024-03-17 16:13:46.145,1,Android
suspendAutohide,Informativo,2024-03-17 16:13:46.146,1,Android
"onTouchEvent::0, x=271.0, y=14.0",Informativo,2024-03-17 16:13:46.146,3,Android
schedulePeek,Informativo,2024-03-17 16:13:46.148,1,Android
getRingtonePlayer...,Informativo,2024-03-17 16:13:46.153,1,Android
disable: < expand ICONS* alerts SYSTEM_INFO* back home recent clock navigationbar search quick_settings >,Informativo,2024-03-17 16:13:46.155,14,Android
suspendAutohide,Informativo,2024-03-17 16:13:46.155,1,Android
"updateLightsLocked,mInCall =false,mScreenOn = true,ledNotification == null?true",Informativo,2024-03-17 16:13:46.158,6,Android
"updateLightsLocked,turn off notificationLight",Informativo,2024-03-17 16:13:46.158,3,Android
getRingtonePlayer...,Informativo,2024-03-17 16:13:46.159,1,Android
"updateLightsLocked,mInCall =false,mScreenOn = true,ledNotification == null?true",Informativo,2024-03-17 16:13:46.161,6,Android
"updateLightsLocked,turn off notificationLight",Informativo,2024-03-17 16:13:46.161,3,Android
"overlapAmount:196.0, previousNotificationEnd:0.0, newYTranslation:-196.0, location:4, i:0, getTopPadding:333.0, getLocationOnScreen():-529",Informativo,2024-03-17 16:13:46.187,7,Android
"state.clipTopAmount:180, i:0",Informativo,2024-03-17 16:13:46.187,2,Android
"updateClipping isOverlap:true, getTopPadding=333.0, Translation=-529.0",Informativo,2024-03-17 16:13:46.187,4,Android
updateDimmedActivatedHideSensitive overlap:true,Informativo,2024-03-17 16:13:46.187,2,Android
getRunningAppProcesses: caller 10113 does not hold REAL_GET_TASKS; limiting output,Advertencia,2024-03-17 16:13:46.232,9,Android
"setSystemUiVisibility vis=40000600 mask=ffffffff oldVal=40000500 newVal=40000600 diff=300 fullscreenStackVis=0 dockedStackVis=0, fullscreenStackBounds=Rect(0, 0 - 720, 1280), dockedStackBounds=Rect(0, 0 - 0, 0)",Informativo,2024-03-17 16:13:46.240,18,Android
"notifyUiVisibilityChanged:vis=0x40000600, SystemUiVisibility=0x40000600",Informativo,2024-03-17 16:13:46.240,2,Android
suspendAutohide,Informativo,2024-03-17 16:13:46.241,1,Android
onExpandingStarted,Informativo,2024-03-17 16:13:46.242,1,Android
suspendAutohide,Informativo,2024-03-17 16:13:46.250,1,Android
onTrackingStarted,Informativo,2024-03-17 16:13:46.250,1,Android
Destroying surface Surface(name=com.tencent.qt.qtl/com.tencent.qt.qtl.activity.info.NewsDetailXmlActivity) called by com.android.server.wm.WindowStateAnimator.destroySurface:2060 com.android.server.wm.WindowStateAnimator.destroySurfaceLocked:913 com.android.server.wm.WindowState.removeLocked:1554 com.android.server.wm.WindowManagerService.removeWindowInnerLocked:2739 com.android.server.wm.WindowManagerService.removeWindowInnerLocked:2702 com.android.server.wm.WindowManagerService.removeWindowLocked:2691 com.android.server.wm.WindowManagerService.removeWindowLocked:2560 com.android.server.wm.WindowManagerService.removeWindow:2555,Informativo,2024-03-17 16:13:46.277,13,Android
suspendAutohide,Informativo,2024-03-17 16:13:46.285,1,Android
"overlapAmount:146.0, previousNotificationEnd:0.0, newYTranslation:-146.0, location:4, i:0, getTopPadding:333.0, getLocationOnScreen():-479",Informativo,2024-03-17 16:13:46.290,7,Android
"state.clipTopAmount:130, i:0",Informativo,2024-03-17 16:13:46.290,2,Android
"updateClipping isOverlap:true, getTopPadding=333.0, Translation=-479.0",Informativo,2024-03-17 16:13:46.290,4,Android
updateDimmedActivatedHideSensitive overlap:true,Informativo,2024-03-17 16:13:46.291,2,Android
suspendAutohide,Informativo,2024-03-17 16:13:46.304,1,Android
"overlapAmount:119.0, previousNotificationEnd:0.0, newYTranslation:-119.0, location:4, i:0, getTopPadding:333.0, getLocationOnScreen():-452",Informativo,2024-03-17 16:13:46.306,7,Android
"state.clipTopAmount:103, i:0",Informativo,2024-03-17 16:13:46.306,2,Android
"updateClipping isOverlap:true, getTopPadding=333.0, Translation=-452.0",Informativo,2024-03-17 16:13:46.306,4,Android
updateDimmedActivatedHideSensitive overlap:true,Informativo,2024-03-17 16:13:46.306,2,Android
suspendAutohide,Informativo,2024-03-17 16:13:46.317,1,Android
"overlapAmount:85.0, previousNotificationEnd:0.0, newYTranslation:-85.0, location:4, i:0, getTopPadding:333.0, getLocationOnScreen():-418",Informativo,2024-03-17 16:13:46.318,7,Android
"state.clipTopAmount:69, i:0",Informativo,2024-03-17 16:13:46.318,2,Android
"updateClipping isOverlap:true, getTopPadding=333.0, Translation=-418.0",Informativo,2024-03-17 16:13:46.318,4,Android
updateDimmedActivatedHideSensitive overlap:true,Informativo,2024-03-17 16:13:46.318,2,Android
suspendAutohide,Informativo,2024-03-17 16:13:46.338,1,Android
"overlapAmount:46.0, previousNotificationEnd:0.0, newYTranslation:-46.0, location:4, i:0, getTopPadding:333.0, getLocationOnScreen():-379",Informativo,2024-03-17 16:13:46.339,7,Android
"state.clipTopAmount:30, i:0",Informativo,2024-03-17 16:13:46.339,2,Android
"updateClipping isOverlap:true, getTopPadding=333.0, Translation=-379.0",Informativo,2024-03-17 16:13:46.339,4,Android
updateDimmedActivatedHideSensitive overlap:true,Informativo,2024-03-17 16:13:46.339,2,Android
suspendAutohide,Informativo,2024-03-17 16:13:46.350,1,Android
"overlapAmount:5.0, previousNotificationEnd:0.0, newYTranslation:-5.0, location:4, i:0, getTopPadding:333.0, getLocationOnScreen():-338",Informativo,2024-03-17 16:13:46.352,7,Android
"state.clipTopAmount:-1, i:0",Informativo,2024-03-17 16:13:46.352,2,Android
"updateClipping isOverlap:true, getTopPadding=333.0, Translation=-338.0",Informativo,2024-03-17 16:13:46.352,4,Android
updateDimmedActivatedHideSensitive overlap:true,Informativo,2024-03-17 16:13:46.352,2,Android
suspendAutohide,Informativo,2024-03-17 16:13:46.368,1,Android
"updateClipping isOverlap:false, getTopPadding=333.0, Translation=-293.0",Informativo,2024-03-17 16:13:46.370,4,Android
updateDimmedActivatedHideSensitive overlap:false,Informativo,2024-03-17 16:13:46.370,2,Android
suspendAutohide,Informativo,2024-03-17 16:13:46.388,1,Android
"updateClipping isOverlap:false, getTopPadding=333.0, Translation=-250.0",Informativo,2024-03-17 16:13:46.389,4,Android
updateDimmedActivatedHideSensitive overlap:false,Informativo,2024-03-17 16:13:46.389,2,Android
suspendAutohide,Informativo,2024-03-17 16:13:46.394,1,Android
suspendAutohide,Informativo,2024-03-17 16:13:46.397,1,Android
"onTouchEvent::1, x=296.0, y=327.0",Informativo,2024-03-17 16:13:46.398,3,Android
cancelPeek: false,Informativo,2024-03-17 16:13:46.398,2,Android
"flingToHeight: vel=2849.079, expand=true, target=553.0, collapseSpeedUpFactor=1.0, expandBecauseOfFalsing=false",Informativo,2024-03-17 16:13:46.398,6,Android
onTrackingStopped: true,Informativo,2024-03-17 16:13:46.398,2,Android
"updateClipping isOverlap:false, getTopPadding=333.0, Translation=-240.0",Informativo,2024-03-17 16:13:46.403,4,Android
updateDimmedActivatedHideSensitive overlap:false,Informativo,2024-03-17 16:13:46.403,2,Android
"updateClipping isOverlap:false, getTopPadding=333.0, Translation=-200.0",Informativo,2024-03-17 16:13:46.417,4,Android
updateDimmedActivatedHideSensitive overlap:false,Informativo,2024-03-17 16:13:46.417,2,Android
"updateClipping isOverlap:false, getTopPadding=333.0, Translation=-168.0",Informativo,2024-03-17 16:13:46.435,4,Android
updateDimmedActivatedHideSensitive overlap:false,Informativo,2024-03-17 16:13:46.435,2,Android
"updateClipping isOverlap:false, getTopPadding=333.0, Translation=-139.0",Informativo,2024-03-17 16:13:46.451,4,Android
updateDimmedActivatedHideSensitive overlap:false,Informativo,2024-03-17 16:13:46.451,2,Android
"updateClipping isOverlap:false, getTopPadding=333.0, Translation=-113.0",Informativo,2024-03-17 16:13:46.468,4,Android
updateDimmedActivatedHideSensitive overlap:false,Informativo,2024-03-17 16:13:46.468,2,Android
"updateClipping isOverlap:false, getTopPadding=333.0, Translation=-90.0",Informativo,2024-03-17 16:13:46.486,4,Android
updateDimmedActivatedHideSensitive overlap:false,Informativo,2024-03-17 16:13:46.486,2,Android
"updateClipping isOverlap:false, getTopPadding=333.0, Translation=-72.0",Informativo,2024-03-17 16:13:46.502,4,Android
updateDimmedActivatedHideSensitive overlap:false,Informativo,2024-03-17 16:13:46.502,2,Android
"updateClipping isOverlap:false, getTopPadding=333.0, Translation=-55.0",Informativo,2024-03-17 16:13:46.518,4,Android
updateDimmedActivatedHideSensitive overlap:false,Informativo,2024-03-17 16:13:46.518,2,Android
"updateClipping isOverlap:false, getTopPadding=333.0, Translation=-40.0",Informativo,2024-03-17 16:13:46.535,4,Android
updateDimmedActivatedHideSensitive overlap:false,Informativo,2024-03-17 16:13:46.535,2,Android
"updateClipping isOverlap:false, getTopPadding=333.0, Translation=-29.0",Informativo,2024-03-17 16:13:46.551,4,Android
updateDimmedActivatedHideSensitive overlap:false,Informativo,2024-03-17 16:13:46.551,2,Android
"updateClipping isOverlap:false, getTopPadding=333.0, Translation=-19.0",Informativo,2024-03-17 16:13:46.568,4,Android
updateDimmedActivatedHideSensitive overlap:false,Informativo,2024-03-17 16:13:46.568,2,Android
"updateClipping isOverlap:false, getTopPadding=333.0, Translation=-11.0",Informativo,2024-03-17 16:13:46.586,4,Android
updateDimmedActivatedHideSensitive overlap:false,Informativo,2024-03-17 16:13:46.586,2,Android
"updateClipping isOverlap:false, getTopPadding=333.0, Translation=-6.0",Informativo,2024-03-17 16:13:46.601,4,Android
updateDimmedActivatedHideSensitive overlap:false,Informativo,2024-03-17 16:13:46.602,2,Android
"updateClipping isOverlap:false, getTopPadding=333.0, Translation=-2.0",Informativo,2024-03-17 16:13:46.619,4,Android
updateDimmedActivatedHideSensitive overlap:false,Informativo,2024-03-17 16:13:46.619,2,Android
"updateClipping isOverlap:false, getTopPadding=333.0, Translation=-1.0",Informativo,2024-03-17 16:13:46.635,4,Android
updateDimmedActivatedHideSensitive overlap:false,Informativo,2024-03-17 16:13:46.635,2,Android
onExpandingFinished,Informativo,2024-03-17 16:13:46.652,1,Android
"updateClipping isOverlap:false, getTopPadding=333.0, Translation=0.0",Informativo,2024-03-17 16:13:46.653,4,Android
updateDimmedActivatedHideSensitive overlap:false,Informativo,2024-03-17 16:13:46.653,2,Android
Sending non-protected broadcast com.android.systemui.statusbar.visible.change from system 2227:com.android.systemui/u0a37 pkg com.android.systemui,Advertencia,2024-03-17 16:13:46.654,9,Android
logNotificationVisibilityChanges runInThread start,Informativo,2024-03-17 16:13:46.671,3,Android
onNotificationVisibilityChanged called,Informativo,2024-03-17 16:13:46.671,2,Android
logNotificationVisibilityChanges runInThread over,Informativo,2024-03-17 16:13:46.672,3,Android
isSimPinSecure mSimDatas is null or empty,Error,2024-03-17 16:13:46.764,6,Android
registerCallback not in UI.,Advertencia,2024-03-17 16:13:46.765,4,Android
android.util.AndroidRuntimeException: Must execute in UI,Advertencia,2024-03-17 16:13:46.765,5,Android
*** register callback for com.android.systemui.statusbar.policy.KeyguardMonitor@712d093,Informativo,2024-03-17 16:13:46.765,5,Android
registerCallback not in UI.,Advertencia,2024-03-17 16:13:46.765,4,Android
android.util.AndroidRuntimeException: Must execute in UI,Advertencia,2024-03-17 16:13:46.765,5,Android
*** unregister callback for null,Informativo,2024-03-17 16:13:46.765,5,Android
[PhoneIntfMgr] getDataEnabled: subId=1 phoneId=1,Informativo,2024-03-17 16:13:46.778,4,Android
[PhoneIntfMgr] getDataEnabled: subId=1 retVal=true,Informativo,2024-03-17 16:13:46.778,4,Android
"userActivityNoUpdateLocked: eventTime=261851646, event=2, flags=0x0, uid=1000",Informativo,2024-03-17 16:13:47.012,5,Android
"ready=true,policy=3,wakefulness=1,wksummary=0x0,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",Informativo,2024-03-17 16:13:47.013,1,Android
